image_id,healthy,multiple_diseases,rust,scab
Test_0,0,0,1,0
Test_2,0,0,0,1
Test_3,1,0,0,0
Test_4,0,0,1,0
Test_6,1,0,0,0
Test_7,0,0,0,1
Test_9,0,0,1,0
Test_10,0,0,1,0
Test_11,1,0,0,0
Test_12,0,0,0,1
Test_14,0,0,1,0
Test_15,0,0,1,0
Test_16,1,0,0,0
Test_19,0,0,1,0
Test_20,0,0,0,1
Test_21,1,0,0,0
Test_23,0,0,0,1
Test_24,1,0,0,0
Test_25,0,0,0,1
Test_26,0,0,0,1
Test_28,1,0,0,0
Test_32,0,0,0,1
Test_33,0,0,0,1
Test_35,0,0,0,1
Test_36,0,0,1,0
Test_37,0,0,0,1
Test_38,0,0,0,1
Test_39,0,0,1,0
Test_40,0,0,1,0
Test_42,0,0,0,1
Test_43,0,0,1,0
Test_47,0,0,1,0
Test_48,0,0,1,0
Test_49,0,0,1,0
Test_51,0,0,1,0
Test_52,0,0,1,0
Test_53,0,0,1,0
Test_55,0,0,0,1
Test_58,0,0,0,1
Test_60,0,0,0,1
Test_61,1,0,0,0
Test_62,0,0,0,1
Test_65,0,0,1,0
Test_69,0,0,1,0
Test_73,1,0,0,0
Test_75,0,0,0,1
Test_76,1,0,0,0
Test_77,0,0,1,0
Test_78,0,0,0,1
Test_80,0,1,0,0
Test_84,0,0,0,1
Test_86,0,0,1,0
Test_90,0,0,1,0
Test_91,1,0,0,0
Test_92,1,0,0,0
Test_93,0,0,1,0
Test_94,0,0,0,1
Test_95,1,0,0,0
Test_96,0,0,0,1
Test_98,0,0,0,1
Test_100,0,0,0,1
Test_102,0,0,0,1
Test_104,0,0,0,1
Test_106,1,0,0,0
Test_110,1,0,0,0
Test_115,0,0,1,0
Test_118,0,0,1,0
Test_119,1,0,0,0
Test_120,0,0,1,0
Test_123,0,0,1,0
Test_124,0,0,0,1
Test_126,1,0,0,0
Test_127,0,0,0,1
Test_129,0,0,1,0
Test_131,0,0,0,1
Test_132,1,0,0,0
Test_133,0,0,0,1
Test_134,1,0,0,0
Test_135,0,0,1,0
Test_136,0,0,0,1
Test_137,0,0,1,0
Test_138,0,0,1,0
Test_139,1,0,0,0
Test_141,0,0,0,1
Test_143,0,0,0,1
Test_144,1,0,0,0
Test_145,0,0,0,1
Test_146,0,0,1,0
Test_151,0,0,1,0
Test_153,0,0,0,1
Test_155,0,0,1,0
Test_158,0,0,0,1
Test_160,1,0,0,0
Test_161,0,0,0,1
Test_162,0,0,1,0
Test_163,0,0,1,0
Test_165,0,0,0,1
Test_166,0,0,1,0
Test_167,0,0,1,0
Test_168,0,1,0,0
Test_169,0,0,1,0
Test_171,0,0,1,0
Test_173,0,0,1,0
Test_174,0,0,0,1
Test_175,1,0,0,0
Test_176,0,0,1,0
Test_177,0,0,0,1
Test_178,0,0,0,1
Test_181,0,0,0,1
Test_183,1,0,0,0
Test_185,0,0,0,1
Test_186,0,0,0,1
Test_187,0,0,1,0
Test_188,0,0,1,0
Test_189,1,0,0,0
Test_193,0,0,1,0
Test_196,0,0,0,1
Test_198,0,0,0,1
Test_199,0,0,1,0
Test_200,0,0,1,0
Test_203,0,0,1,0
Test_204,0,0,0,1
Test_205,0,0,0,1
Test_206,0,0,0,1
Test_208,0,0,0,1
Test_210,0,0,0,1
Test_212,0,0,1,0
Test_216,1,0,0,0
Test_217,0,0,0,1
Test_219,0,0,1,0
Test_220,0,0,0,1
Test_223,0,0,1,0
Test_225,1,0,0,0
Test_226,0,0,1,0
Test_227,0,0,0,1
Test_228,0,0,1,0
Test_229,0,0,1,0
Test_231,0,0,0,1
Test_232,1,0,0,0
Test_233,1,0,0,0
Test_234,0,0,0,1
Test_235,0,0,0,1
Test_239,0,0,1,0
Test_242,0,0,0,1
Test_243,1,0,0,0
Test_246,0,0,0,1
Test_247,0,0,0,1
Test_249,0,0,1,0
Test_250,1,0,0,0
Test_251,1,0,0,0
Test_253,0,0,0,1
Test_254,0,0,0,1
Test_257,0,0,1,0
Test_260,0,0,0,1
Test_261,0,0,1,0
Test_264,1,0,0,0
Test_265,0,0,1,0
Test_266,0,0,0,1
Test_267,1,0,0,0
Test_269,1,0,0,0
Test_270,0,0,0,1
Test_271,0,0,0,1
Test_273,1,0,0,0
Test_274,0,0,1,0
Test_278,0,0,0,1
Test_279,0,0,1,0
Test_280,0,0,0,1
Test_281,0,0,0,1
Test_284,0,0,1,0
Test_285,0,0,0,1
Test_286,0,0,0,1
Test_289,0,0,0,1
Test_290,0,0,1,0
Test_291,0,0,1,0
Test_293,0,0,1,0
Test_295,0,0,1,0
Test_297,0,0,0,1
Test_301,1,0,0,0
Test_302,0,0,0,1
Test_306,0,0,0,1
Test_307,1,0,0,0
Test_308,0,0,0,1
Test_310,0,0,1,0
Test_312,0,0,0,1
Test_313,0,0,0,1
Test_314,0,0,0,1
Test_315,0,0,0,1
Test_316,0,0,1,0
Test_317,0,0,1,0
Test_319,0,0,1,0
Test_320,0,0,1,0
Test_324,0,0,1,0
Test_325,0,0,0,1
Test_326,0,0,1,0
Test_327,0,0,0,1
Test_328,0,0,1,0
Test_329,0,0,1,0
Test_334,0,0,1,0
Test_335,1,0,0,0
Test_336,0,0,1,0
Test_338,1,0,0,0
Test_340,0,0,1,0
Test_341,1,0,0,0
Test_342,1,0,0,0
Test_344,0,0,1,0
Test_346,0,0,1,0
Test_347,0,0,1,0
Test_348,0,0,0,1
Test_350,0,0,0,1
Test_351,0,0,1,0
Test_354,0,0,1,0
Test_356,1,0,0,0
Test_359,0,0,0,1
Test_360,0,0,0,1
Test_361,1,0,0,0
Test_365,0,0,1,0
Test_367,0,0,0,1
Test_368,1,0,0,0
Test_369,0,0,0,1
Test_370,0,0,1,0
Test_371,0,0,1,0
Test_372,0,0,0,1
Test_373,0,0,1,0
Test_375,0,0,0,1
Test_377,1,0,0,0
Test_378,0,0,1,0
Test_380,0,0,0,1
Test_382,0,0,0,1
Test_383,1,0,0,0
Test_384,0,0,1,0
Test_387,0,0,0,1
Test_388,1,0,0,0
Test_392,0,0,1,0
Test_393,0,0,0,1
Test_394,0,0,0,1
Test_396,0,0,0,1
Test_397,0,0,0,1
Test_399,0,0,0,1
Test_400,0,0,1,0
Test_402,0,0,0,1
Test_404,0,0,0,1
Test_405,0,0,0,1
Test_406,0,0,0,1
Test_407,0,0,0,1
Test_408,0,0,0,1
Test_411,1,0,0,0
Test_414,0,0,1,0
Test_415,0,0,1,0
Test_417,0,0,1,0
Test_418,1,0,0,0
Test_419,1,0,0,0
Test_420,0,0,1,0
Test_421,0,0,0,1
Test_422,0,0,0,1
Test_424,0,0,1,0
Test_425,0,0,0,1
Test_426,0,0,1,0
Test_427,0,0,0,1
Test_428,0,0,0,1
Test_429,0,0,1,0
Test_430,0,0,1,0
Test_432,0,0,0,1
Test_433,0,0,0,1
Test_434,0,0,0,1
Test_435,1,0,0,0
Test_436,0,0,0,1
Test_440,0,0,1,0
Test_442,0,0,1,0
Test_443,0,0,0,1
Test_444,1,0,0,0
Test_446,0,0,1,0
Test_447,0,0,1,0
Test_448,0,0,1,0
Test_449,0,0,0,1
Test_450,0,0,1,0
Test_451,0,0,1,0
Test_453,0,0,0,1
Test_455,0,0,0,1
Test_456,0,0,1,0
Test_457,0,0,0,1
Test_459,0,0,1,0
Test_460,0,0,0,1
Test_461,0,0,0,1
Test_463,0,0,0,1
Test_464,1,0,0,0
Test_465,0,0,1,0
Test_467,0,0,0,1
Test_471,0,0,1,0
Test_472,1,0,0,0
Test_473,0,1,0,0
Test_474,0,0,1,0
Test_475,0,0,0,1
Test_476,0,0,0,1
Test_479,0,0,0,1
Test_481,0,0,0,1
Test_486,0,0,0,1
Test_489,0,0,1,0
Test_491,0,0,1,0
Test_492,0,0,0,1
Test_495,0,0,0,1
Test_496,1,0,0,0
Test_497,0,0,0,1
Test_498,1,0,0,0
Test_500,0,0,1,0
Test_501,1,0,0,0
Test_502,1,0,0,0
Test_505,0,0,0,1
Test_506,0,1,0,0
Test_508,0,0,1,0
Test_509,0,0,1,0
Test_511,0,0,0,1
Test_516,0,0,1,0
Test_517,0,0,0,1
Test_519,0,0,0,1
Test_522,0,0,1,0
Test_524,0,0,1,0
Test_530,1,0,0,0
Test_531,0,0,1,0
Test_534,0,0,0,1
Test_535,0,0,1,0
Test_538,0,0,0,1
Test_540,0,0,1,0
Test_542,1,0,0,0
Test_544,0,0,1,0
Test_545,0,0,1,0
Test_547,0,0,1,0
Test_548,0,0,1,0
Test_549,0,0,0,1
Test_550,0,0,0,1
Test_553,0,0,0,1
Test_556,1,0,0,0
Test_557,0,1,0,0
Test_560,0,0,1,0
Test_567,0,0,0,1
Test_571,0,0,1,0
Test_572,0,0,0,1
Test_581,1,0,0,0
Test_583,1,0,0,0
Test_585,0,0,1,0
Test_587,0,0,1,0
Test_590,0,0,1,0
Test_591,0,0,1,0
Test_593,0,0,1,0
Test_595,0,0,0,1
Test_597,0,0,0,1
Test_601,0,0,0,1
Test_602,0,0,0,1
Test_603,0,0,0,1
Test_605,1,0,0,0
Test_608,0,0,0,1
Test_609,1,0,0,0
Test_610,0,0,0,1
Test_612,0,0,1,0
Test_613,1,0,0,0
Test_614,0,0,1,0
Test_615,0,0,1,0
Test_616,0,0,0,1
Test_617,0,0,0,1
Test_618,0,0,0,1
Test_622,0,0,1,0
Test_623,0,0,0,1
Test_626,0,0,1,0
Test_629,1,0,0,0
Test_630,1,0,0,0
Test_633,0,0,1,0
Test_634,0,0,0,1
Test_635,1,0,0,0
Test_637,0,0,1,0
Test_638,0,0,0,1
Test_640,0,0,0,1
Test_642,0,0,0,1
Test_644,0,0,0,1
Test_645,1,0,0,0
Test_646,0,0,1,0
Test_648,1,0,0,0
Test_649,0,0,1,0
Test_650,0,0,1,0
Test_651,0,0,0,1
Test_652,0,0,1,0
Test_653,1,0,0,0
Test_654,0,0,1,0
Test_655,0,0,0,1
Test_656,0,0,0,1
Test_658,1,0,0,0
Test_660,0,0,1,0
Test_661,0,0,0,1
Test_662,0,0,0,1
Test_664,0,0,1,0
Test_665,0,0,0,1
Test_666,0,0,1,0
Test_667,1,0,0,0
Test_669,0,0,1,0
Test_670,0,0,1,0
Test_671,0,0,1,0
Test_675,1,0,0,0
Test_676,1,0,0,0
Test_677,0,0,0,1
Test_678,0,0,0,1
Test_679,0,0,1,0
Test_680,0,0,0,1
Test_682,1,0,0,0
Test_683,0,0,0,1
Test_684,0,0,0,1
Test_685,1,0,0,0
Test_686,0,0,0,1
Test_687,1,0,0,0
Test_689,0,0,0,1
Test_690,0,0,0,1
Test_691,1,0,0,0
Test_693,1,0,0,0
Test_695,1,0,0,0
Test_696,0,0,1,0
Test_699,0,0,0,1
Test_700,0,0,1,0
Test_703,0,0,1,0
Test_706,1,0,0,0
Test_709,0,0,1,0
Test_711,1,0,0,0
Test_712,0,0,0,1
Test_713,0,1,0,0
Test_715,0,0,1,0
Test_716,0,0,0,1
Test_717,0,0,1,0
Test_718,0,0,1,0
Test_719,0,0,1,0
Test_720,1,0,0,0
Test_721,0,0,1,0
Test_725,0,0,0,1
Test_726,0,0,0,1
Test_731,0,0,1,0
Test_734,1,0,0,0
Test_736,1,0,0,0
Test_737,0,0,0,1
Test_738,1,0,0,0
Test_739,0,0,1,0
Test_740,0,0,0,1
Test_742,0,0,0,1
Test_744,0,0,0,1
Test_746,0,0,1,0
Test_747,1,0,0,0
Test_748,0,0,0,1
Test_749,0,0,0,1
Test_751,0,0,1,0
Test_752,0,0,0,1
Test_755,0,0,0,1
Test_756,1,0,0,0
Test_757,0,0,0,1
Test_758,1,0,0,0
Test_762,0,0,1,0
Test_763,0,0,1,0
Test_764,1,0,0,0
Test_766,0,0,0,1
Test_769,0,0,1,0
Test_770,0,0,0,1
Test_771,0,0,1,0
Test_773,0,0,1,0
Test_777,1,0,0,0
Test_779,0,0,0,1
Test_780,1,0,0,0
Test_781,1,0,0,0
Test_782,0,0,1,0
Test_783,0,0,1,0
Test_784,0,0,1,0
Test_785,1,0,0,0
Test_786,0,0,1,0
Test_787,0,0,1,0
Test_789,0,0,1,0
Test_791,0,0,0,1
Test_795,0,0,0,1
Test_796,0,0,1,0
Test_797,1,0,0,0
Test_801,0,0,1,0
Test_803,0,0,0,1
Test_805,0,0,1,0
Test_808,1,0,0,0
Test_809,1,0,0,0
Test_810,0,0,1,0
Test_811,1,0,0,0
Test_813,1,0,0,0
Test_814,0,0,0,1
Test_815,0,0,0,1
Test_819,0,0,1,0
Test_820,1,0,0,0
Test_821,0,0,0,1
Test_823,1,0,0,0
Test_825,0,0,1,0
Test_826,0,0,1,0
Test_829,0,0,0,1
Test_830,0,0,1,0
Test_831,0,0,1,0
Test_832,1,0,0,0
Test_833,0,0,1,0
Test_834,0,0,1,0
Test_835,0,0,1,0
Test_837,0,0,0,1
Test_839,0,0,1,0
Test_840,0,0,1,0
Test_841,0,0,0,1
Test_842,1,0,0,0
Test_843,0,0,1,0
Test_845,0,0,1,0
Test_848,0,0,1,0
Test_849,0,0,0,1
Test_850,0,0,1,0
Test_851,0,0,0,1
Test_852,0,0,1,0
Test_854,0,0,0,1
Test_855,0,0,0,1
Test_856,1,0,0,0
Test_857,0,0,1,0
Test_858,0,0,1,0
Test_860,1,0,0,0
Test_865,0,0,1,0
Test_871,0,0,0,1
Test_873,0,0,0,1
Test_874,0,0,0,1
Test_875,0,0,0,1
Test_876,0,0,0,1
Test_878,1,0,0,0
Test_880,0,0,1,0
Test_888,0,0,1,0
Test_889,0,0,1,0
Test_891,0,0,0,1
Test_892,0,0,1,0
Test_894,0,0,0,1
Test_895,1,0,0,0
Test_897,1,0,0,0
Test_898,0,0,0,1
Test_900,0,0,0,1
Test_901,0,0,1,0
Test_902,1,0,0,0
Test_903,0,0,1,0
Test_904,1,0,0,0
Test_907,0,0,0,1
Test_908,0,0,0,1
Test_909,1,0,0,0
Test_911,0,0,0,1
Test_913,0,0,1,0
Test_914,0,0,0,1
Test_916,0,0,0,1
Test_918,0,0,1,0
Test_919,0,0,0,1
Test_920,0,0,1,0
Test_922,1,0,0,0
Test_924,0,0,0,1
Test_925,1,0,0,0
Test_926,0,0,1,0
Test_928,0,0,1,0
Test_929,0,0,0,1
Test_931,1,0,0,0
Test_933,1,0,0,0
Test_935,0,0,1,0
Test_936,0,0,0,1
Test_937,0,0,1,0
Test_938,0,0,0,1
Test_939,1,0,0,0
Test_940,0,0,0,1
Test_941,0,0,0,1
Test_943,0,0,1,0
Test_945,1,0,0,0
Test_947,0,0,0,1
