image_id,healthy,multiple_diseases,rust,scab
Test_950,0,0,0,1
Test_952,0,0,0,1
Test_953,0,0,0,1
Test_954,1,0,0,0
Test_955,1,0,0,0
Test_956,0,0,0,1
Test_959,0,0,1,0
Test_960,0,0,1,0
Test_964,0,0,1,0
Test_965,1,0,0,0
Test_967,0,0,1,0
Test_968,0,0,1,0
Test_969,0,0,1,0
Test_970,1,0,0,0
Test_971,0,0,0,1
Test_972,0,0,1,0
Test_975,1,0,0,0
Test_977,0,0,0,1
Test_978,0,0,1,0
Test_979,1,0,0,0
Test_980,0,0,0,1
Test_981,0,0,0,1
Test_982,1,0,0,0
Test_983,0,0,1,0
Test_984,0,0,0,1
Test_985,0,1,0,0
Test_986,0,0,0,1
Test_987,0,1,0,0
Test_988,1,0,0,0
Test_989,1,0,0,0
Test_991,0,1,0,0
Test_992,0,0,0,1
Test_996,0,0,1,0
Test_998,0,0,1,0
Test_999,0,0,1,0
Test_1002,0,0,1,0
Test_1003,0,0,0,1
Test_1004,0,0,0,1
Test_1007,0,0,0,1
Test_1008,1,0,0,0
Test_1010,0,0,1,0
Test_1011,0,0,1,0
Test_1012,0,0,0,1
Test_1013,0,0,1,0
Test_1014,0,0,1,0
Test_1015,1,0,0,0
Test_1016,0,0,1,0
Test_1017,0,0,1,0
Test_1018,0,0,0,1
Test_1019,0,0,1,0
Test_1020,0,0,1,0
Test_1022,0,0,1,0
Test_1023,1,0,0,0
Test_1024,1,0,0,0
Test_1025,0,0,0,1
Test_1026,1,0,0,0
Test_1027,0,0,0,1
Test_1028,1,0,0,0
Test_1029,1,0,0,0
Test_1030,1,0,0,0
Test_1031,0,0,0,1
Test_1032,0,0,0,1
Test_1034,0,0,1,0
Test_1036,1,0,0,0
Test_1038,0,0,0,1
Test_1039,0,0,0,1
Test_1040,0,0,0,1
Test_1041,0,0,1,0
Test_1042,0,0,1,0
Test_1043,0,0,1,0
Test_1044,0,0,0,1
Test_1045,0,0,1,0
Test_1047,1,0,0,0
Test_1048,0,0,0,1
Test_1049,0,0,0,1
Test_1050,0,0,1,0
Test_1051,0,0,0,1
Test_1052,0,0,0,1
Test_1054,1,0,0,0
Test_1057,0,0,0,1
Test_1058,1,0,0,0
Test_1060,0,0,0,1
Test_1062,1,0,0,0
Test_1063,0,0,1,0
Test_1064,0,0,0,1
Test_1065,1,0,0,0
Test_1066,0,0,0,1
Test_1068,0,0,0,1
Test_1069,0,0,1,0
Test_1072,0,0,0,1
Test_1073,0,0,0,1
Test_1077,1,0,0,0
Test_1078,0,0,1,0
Test_1079,0,0,1,0
Test_1082,0,0,0,1
Test_1083,1,0,0,0
Test_1085,0,0,0,1
Test_1088,0,0,1,0
Test_1089,0,0,0,1
Test_1091,1,0,0,0
Test_1092,1,0,0,0
Test_1093,0,0,0,1
Test_1094,1,0,0,0
Test_1095,0,0,0,1
Test_1096,0,0,0,1
Test_1097,1,0,0,0
Test_1099,0,0,0,1
Test_1101,1,0,0,0
Test_1102,0,0,1,0
Test_1105,0,0,0,1
Test_1106,1,0,0,0
Test_1108,1,0,0,0
Test_1109,1,0,0,0
Test_1110,0,0,1,0
Test_1111,0,0,1,0
Test_1112,1,0,0,0
Test_1113,0,0,1,0
Test_1114,0,0,1,0
Test_1115,0,0,1,0
Test_1116,0,0,1,0
Test_1117,1,0,0,0
Test_1119,0,0,0,1
Test_1122,0,0,0,1
Test_1123,1,0,0,0
Test_1124,0,0,1,0
Test_1126,1,0,0,0
Test_1127,0,0,0,1
Test_1128,0,0,1,0
Test_1129,0,0,1,0
Test_1130,0,0,0,1
Test_1131,1,0,0,0
Test_1136,0,0,0,1
Test_1137,0,0,0,1
Test_1138,0,0,0,1
Test_1141,0,0,0,1
Test_1142,0,0,1,0
Test_1143,0,0,1,0
Test_1144,0,0,1,0
Test_1146,0,0,1,0
Test_1147,0,0,0,1
Test_1148,0,0,1,0
Test_1150,0,0,0,1
Test_1152,1,0,0,0
Test_1153,0,0,0,1
Test_1154,0,0,1,0
Test_1155,0,0,1,0
Test_1156,0,0,0,1
Test_1157,0,0,0,1
Test_1159,0,0,1,0
Test_1160,1,0,0,0
Test_1161,0,0,1,0
Test_1162,0,0,0,1
Test_1163,1,0,0,0
Test_1164,0,0,1,0
Test_1167,0,0,1,0
Test_1168,0,0,1,0
Test_1169,0,0,0,1
Test_1171,0,0,0,1
Test_1172,1,0,0,0
Test_1173,0,0,0,1
Test_1174,0,0,0,1
Test_1175,0,0,1,0
Test_1177,1,0,0,0
Test_1178,1,0,0,0
Test_1179,0,0,1,0
Test_1180,1,0,0,0
Test_1184,0,0,1,0
Test_1186,0,0,1,0
Test_1187,0,0,0,1
Test_1191,0,0,0,1
Test_1192,0,0,1,0
Test_1194,1,0,0,0
Test_1195,1,0,0,0
Test_1197,0,0,0,1
Test_1198,0,0,1,0
Test_1199,0,0,1,0
Test_1201,0,0,0,1
Test_1203,1,0,0,0
Test_1205,0,0,1,0
Test_1206,0,0,1,0
Test_1208,0,0,0,1
Test_1209,0,0,1,0
Test_1210,0,0,0,1
Test_1213,0,0,0,1
Test_1214,0,0,0,1
Test_1215,0,0,0,1
Test_1216,0,0,1,0
Test_1217,0,0,0,1
Test_1218,0,0,0,1
Test_1219,0,0,1,0
Test_1220,0,0,0,1
Test_1221,1,0,0,0
Test_1226,0,0,1,0
Test_1229,1,0,0,0
Test_1230,0,0,1,0
Test_1231,1,0,0,0
Test_1232,1,0,0,0
Test_1234,0,0,1,0
Test_1235,1,0,0,0
Test_1236,0,0,0,1
Test_1239,0,0,0,1
Test_1241,1,0,0,0
Test_1242,0,0,0,1
Test_1243,0,0,1,0
Test_1244,0,0,0,1
Test_1245,0,0,0,1
Test_1247,0,0,1,0
Test_1251,0,0,0,1
Test_1252,0,0,1,0
Test_1253,0,0,0,1
Test_1254,1,0,0,0
Test_1257,0,0,0,1
Test_1259,1,0,0,0
Test_1261,0,0,1,0
Test_1266,0,0,1,0
Test_1267,0,0,0,1
Test_1269,0,0,1,0
Test_1271,0,0,0,1
Test_1272,0,0,1,0
Test_1273,1,0,0,0
Test_1274,0,0,0,1
Test_1276,0,0,0,1
Test_1277,0,0,1,0
Test_1279,0,0,0,1
Test_1282,1,0,0,0
Test_1283,0,0,1,0
Test_1287,1,0,0,0
Test_1288,1,0,0,0
Test_1290,0,0,0,1
Test_1291,0,0,0,1
Test_1295,0,0,1,0
Test_1296,1,0,0,0
Test_1297,0,0,0,1
Test_1298,0,0,1,0
Test_1300,0,0,1,0
Test_1302,0,0,0,1
Test_1305,0,0,1,0
Test_1306,0,0,0,1
Test_1307,0,0,1,0
Test_1308,0,0,0,1
Test_1311,1,0,0,0
Test_1314,0,0,1,0
Test_1315,1,0,0,0
Test_1319,0,0,1,0
Test_1320,0,0,0,1
Test_1322,1,0,0,0
Test_1323,0,0,1,0
Test_1325,0,0,0,1
Test_1326,0,0,0,1
Test_1328,0,0,0,1
Test_1329,0,0,1,0
Test_1331,0,0,1,0
Test_1332,0,0,0,1
Test_1334,0,0,0,1
Test_1335,0,0,1,0
Test_1336,0,0,1,0
Test_1338,0,0,1,0
Test_1341,0,0,1,0
Test_1342,0,0,1,0
Test_1343,0,0,0,1
Test_1344,0,0,1,0
Test_1347,0,0,0,1
Test_1351,0,0,1,0
Test_1352,0,0,1,0
Test_1354,1,0,0,0
Test_1355,1,0,0,0
Test_1356,0,0,0,1
Test_1357,0,0,1,0
Test_1358,0,0,0,1
Test_1359,1,0,0,0
Test_1360,0,0,1,0
Test_1361,0,0,1,0
Test_1362,0,0,1,0
Test_1363,0,0,1,0
Test_1365,1,0,0,0
Test_1366,0,0,0,1
Test_1369,1,0,0,0
Test_1370,0,0,1,0
Test_1371,0,0,0,1
Test_1374,0,0,1,0
Test_1375,0,1,0,0
Test_1376,1,0,0,0
Test_1379,0,1,0,0
Test_1382,0,0,1,0
Test_1383,0,0,0,1
Test_1384,0,0,0,1
Test_1387,0,0,0,1
Test_1388,0,0,1,0
Test_1391,0,0,1,0
Test_1397,0,0,1,0
Test_1398,0,0,1,0
Test_1399,0,0,1,0
Test_1400,0,0,0,1
Test_1401,0,0,0,1
Test_1402,1,0,0,0
Test_1403,0,0,1,0
Test_1404,0,0,1,0
Test_1405,0,0,1,0
Test_1406,0,0,1,0
Test_1408,1,0,0,0
Test_1409,0,0,0,1
Test_1410,0,0,1,0
Test_1411,0,0,0,1
Test_1412,0,0,0,1
Test_1414,0,0,1,0
Test_1417,0,0,0,1
Test_1419,0,0,1,0
Test_1421,0,0,0,1
Test_1422,0,0,1,0
Test_1424,1,0,0,0
Test_1425,0,0,1,0
Test_1427,0,0,0,1
Test_1429,1,0,0,0
Test_1431,1,0,0,0
Test_1432,0,0,1,0
Test_1434,0,0,1,0
Test_1435,0,0,0,1
Test_1437,0,0,1,0
Test_1438,0,0,1,0
Test_1439,1,0,0,0
Test_1441,0,0,1,0
Test_1443,1,0,0,0
Test_1446,1,0,0,0
Test_1447,0,0,0,1
Test_1448,1,0,0,0
Test_1449,0,0,1,0
Test_1451,0,0,0,1
Test_1452,0,0,0,1
Test_1453,0,0,1,0
Test_1454,1,0,0,0
Test_1456,0,0,1,0
Test_1457,0,0,1,0
Test_1460,0,0,1,0
Test_1461,0,0,1,0
Test_1462,0,0,1,0
Test_1465,0,0,1,0
Test_1467,1,0,0,0
Test_1468,0,0,0,1
Test_1469,1,0,0,0
Test_1470,0,0,0,1
Test_1472,0,0,1,0
Test_1473,1,0,0,0
Test_1476,0,0,0,1
Test_1477,0,0,0,1
Test_1478,0,0,1,0
Test_1480,0,0,1,0
Test_1481,0,0,0,1
Test_1482,0,0,0,1
Test_1484,1,0,0,0
Test_1487,0,0,1,0
Test_1489,0,0,1,0
Test_1490,0,0,0,1
Test_1492,0,0,1,0
Test_1495,0,0,0,1
Test_1496,0,0,0,1
Test_1498,0,0,0,1
Test_1499,0,0,1,0
Test_1503,1,0,0,0
Test_1504,0,0,1,0
Test_1507,1,0,0,0
Test_1509,0,0,0,1
Test_1510,0,0,1,0
Test_1511,0,0,0,1
Test_1513,0,0,1,0
Test_1514,0,0,1,0
Test_1515,0,0,1,0
Test_1516,0,0,0,1
Test_1519,0,0,0,1
Test_1522,0,0,1,0
Test_1523,0,0,0,1
Test_1524,1,0,0,0
Test_1525,1,0,0,0
Test_1526,0,0,0,1
Test_1528,0,0,0,1
Test_1529,0,0,1,0
Test_1530,1,0,0,0
Test_1537,0,0,0,1
Test_1538,0,0,1,0
Test_1540,0,0,0,1
Test_1541,0,0,0,1
Test_1543,0,0,1,0
Test_1545,0,0,0,1
Test_1547,1,0,0,0
Test_1548,0,0,0,1
Test_1549,0,0,0,1
Test_1550,0,0,0,1
Test_1551,0,0,0,1
Test_1552,0,0,0,1
Test_1553,0,0,0,1
Test_1557,0,0,0,1
Test_1560,1,0,0,0
Test_1561,0,0,0,1
Test_1563,0,0,1,0
Test_1566,0,0,0,1
Test_1567,0,0,1,0
Test_1568,0,0,1,0
Test_1571,0,0,1,0
Test_1573,0,0,1,0
Test_1579,1,0,0,0
Test_1580,1,0,0,0
Test_1581,0,0,0,1
Test_1582,0,0,1,0
Test_1583,0,0,1,0
Test_1584,0,0,0,1
Test_1585,0,0,1,0
Test_1589,0,0,1,0
Test_1591,1,0,0,0
Test_1592,1,0,0,0
Test_1593,0,0,0,1
Test_1594,0,0,0,1
Test_1597,0,0,1,0
Test_1600,1,0,0,0
Test_1601,0,0,0,1
Test_1603,0,0,1,0
Test_1604,0,0,1,0
Test_1605,0,0,0,1
Test_1610,1,0,0,0
Test_1612,0,0,1,0
Test_1615,0,0,0,1
Test_1616,0,0,1,0
Test_1619,0,0,0,1
Test_1620,0,0,1,0
Test_1623,0,0,0,1
Test_1624,1,0,0,0
Test_1628,0,0,1,0
Test_1630,0,0,0,1
Test_1631,0,0,1,0
Test_1632,0,0,1,0
Test_1633,0,0,1,0
Test_1635,0,0,1,0
Test_1640,1,0,0,0
Test_1641,0,0,0,1
Test_1642,1,0,0,0
Test_1644,0,0,1,0
Test_1645,0,0,1,0
Test_1647,0,0,1,0
Test_1649,0,0,1,0
Test_1650,0,0,1,0
Test_1652,0,0,1,0
Test_1653,0,0,1,0
Test_1655,0,0,0,1
Test_1659,0,0,1,0
Test_1660,0,0,0,1
Test_1662,1,0,0,0
Test_1663,0,0,1,0
Test_1664,0,0,0,1
Test_1667,1,0,0,0
Test_1668,0,0,0,1
Test_1669,0,0,1,0
Test_1672,0,0,0,1
Test_1674,0,0,0,1
Test_1675,1,0,0,0
Test_1679,0,0,0,1
Test_1680,0,0,0,1
Test_1684,1,0,0,0
Test_1685,1,0,0,0
Test_1686,1,0,0,0
Test_1688,0,0,1,0
Test_1690,0,0,0,1
Test_1691,0,0,0,1
Test_1692,0,0,1,0
Test_1694,0,0,1,0
Test_1695,0,0,1,0
Test_1696,0,0,0,1
Test_1697,0,0,1,0
Test_1699,0,0,0,1
Test_1700,1,0,0,0
Test_1704,1,0,0,0
Test_1705,0,0,1,0
Test_1710,0,0,1,0
Test_1712,0,0,1,0
Test_1713,0,0,1,0
Test_1715,0,0,0,1
Test_1717,0,0,0,1
Test_1718,1,0,0,0
Test_1719,0,0,1,0
Test_1720,0,0,1,0
Test_1721,0,0,1,0
Test_1722,0,0,1,0
Test_1724,0,0,1,0
Test_1729,0,0,1,0
Test_1732,0,0,1,0
Test_1733,0,0,0,1
Test_1734,0,0,1,0
Test_1735,0,0,1,0
Test_1736,0,0,1,0
Test_1738,0,0,0,1
Test_1745,0,0,1,0
Test_1747,0,0,0,1
Test_1750,0,0,0,1
Test_1751,0,0,0,1
Test_1754,1,0,0,0
Test_1757,0,0,0,1
Test_1758,1,0,0,0
Test_1759,0,0,0,1
Test_1761,1,0,0,0
Test_1762,0,0,0,1
Test_1763,0,0,1,0
Test_1764,0,0,1,0
Test_1767,0,0,1,0
Test_1768,0,0,1,0
Test_1769,1,0,0,0
Test_1770,0,0,0,1
Test_1775,0,0,1,0
Test_1776,0,0,0,1
Test_1778,1,0,0,0
Test_1779,0,0,1,0
Test_1784,0,0,1,0
Test_1785,0,0,0,1
Test_1787,0,0,0,1
Test_1788,1,0,0,0
Test_1789,1,0,0,0
Test_1791,1,0,0,0
Test_1793,0,0,1,0
Test_1794,0,0,1,0
Test_1798,1,0,0,0
Test_1799,0,0,0,1
Test_1800,1,0,0,0
Test_1802,0,0,1,0
Test_1804,0,0,1,0
Test_1805,1,0,0,0
Test_1806,0,0,0,1
Test_1807,0,0,0,1
Test_1808,0,0,0,1
Test_1809,1,0,0,0
Test_1812,0,0,1,0
Test_1813,0,0,0,1
Test_1815,0,0,1,0
Test_1817,0,0,0,1
Test_1818,0,0,1,0
Test_1819,1,0,0,0
Test_1820,0,0,0,1
